Term,Course Number,Course Title,Professor,Grade,Grade Count,Total Enrolled
202201,Anthropology 6300,Fieldwork Interp Culture,"Addison, Lincoln",A,,
202201,Anthropology 6410,History of Anthropology,"Roseman, Sharon",A,,
202201,Applied Literary Arts 6100,Arts Management,"Ganz, Shoshannah",A,,
202201,Applied Literary Arts 6115,Writing & Publishing,"Beardsworth, Adam",A,,
202201,Archaeology 6000,Thry/Mthd Arch/Prehist,"Forbes, Veronique",A,10,12
202201,Archaeology 6000,Thry/Mthd Arch/Prehist,"Forbes, Veronique",B,2,12
202201,Archaeology 6685,When Worlds Meet,"Blaser, Mario",A,13,13
202201,Artificial Intelligence 6000,Al Foundations,"Popuri, Karteek",A,15,19
202201,Artificial Intelligence 6000,Al Foundations,"Popuri, Karteek",B,4,19
202201,Biochemistry 7000,Graduate Skills,"Christian, Sherri L",PASS,12,12
202201,Biology 7000,Graduate Core Seminar,"Marino, Paul C",PASS,14,14
202201,Biology 7220,Quantitative Mthd Biol,"Hurford, Amy",A,15,17
202201,Biology 7220,Quantitative Mthd Biol,"Hurford, Amy",B,2,17
202201,Biology 7932,General Linear Model in Biol,"Schneider, David Clayton",A,,
202201,Biology 7941,Topics in Bioinfomatics,"Pena-Castillo, Lourdes",A,,
202201,Biology 7941,Topics in Bioinfomatics,"Pena-Castillo, Lourdes",B,,
202201,Boreal Ecosystems & Agri. Sci. 6000,Iss Boreal Ecosys & Agri Sci,"Cheema, Mumtaz Akhtar",A,15,15
202201,Business Administration 8103,Statcl Application Mngmt,"Sulsky, Lorne",A,16,49
202201,Business Administration 8103,Statcl Application Mngmt,"Sulsky, Lorne",B,28,49
202201,Business Administration 8103,Statcl Application Mngmt,"Sulsky, Lorne",C,3,49
202201,Business Administration 8103,Statcl Application Mngmt,"Sulsky, Lorne",D,1,49
202201,Business Administration 8104,Orgnztl Behaviour/Structure,"Vardy, Kyle James William",A,36,74
202201,Business Administration 8104,Orgnztl Behaviour/Structure,"Vardy, Kyle James William",B,37,74
202201,Business Administration 8104,Orgnztl Behaviour/Structure,"Vardy, Kyle James William",C,1,74
202201,Business Administration 8106,Marketing Jawad,"Saeed, Walaa",A,27,32
202201,Business Administration 8106,Marketing Jawad,"Saeed, Walaa",B,3,32
202201,Business Administration 8106,Marketing Jawad,"Saeed, Walaa",F,1,32
202201,Business Administration 8107,Managing Ethics&Responsibility,"Cooper, Thomas",A,45,49
202201,Business Administration 8107,Managing Ethics&Responsibility,"Cooper, Thomas",B,4,49
202201,Business Administration 8108,Economics for Business,"Haven, Emmanuel",A,20,28
202201,Business Administration 8108,Economics for Business,"Haven, Emmanuel",B,8,28
202201,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",A,18,45
202201,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",B,25,45
202201,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",C,,
202201,Business Administration 8109,Accounting for Management,"Coady, Peggy Ann",D,1,45
202201,Business Administration 8204,Human Resource Mngmnt,"Wooley, Emily",A,13,20
202201,Business Administration 8204,Human Resource Mngmnt,"Wooley, Emily",B,7,20
202201,Business Administration 8205,Information Systems,"Murphy, Ryan",A,20,25
202201,Business Administration 8205,Information Systems,"Murphy, Ryan",B,2,25
202201,Business Administration 8205,Information Systems,"Murphy, Ryan",C,2,25
202201,Business Administration 8205,Information Systems,"Murphy, Ryan",D,1,25
202201,Business Administration 8207,Operations Management,"Ke, Ginger",A,,
202201,Business Administration 8210,Labour Relations,"Cooke, Gordon",A,12,21
202201,Business Administration 8210,Labour Relations,"Cooke, Gordon",B,9,21
202201,Business Administration 8500,Intro Soc Inno/Entrp/Entrepren,"Schouten, John Woodward",A,18,19
202201,Business Administration 8500,Intro Soc Inno/Entrp/Entrepren,"Schouten, John Woodward",B,1,19
202201,Business Administration 8501,Rise of Sustainable Capitalism,"Cooper, Thomas",A,19,19
202201,Business Administration 8502,Org Behaviour Soc Enterprise,"Paterson, Chelsey Elizabeth",A,17,18
202201,Business Administration 8502,Org Behaviour Soc Enterprise,"Paterson, Chelsey Elizabeth",B,1,18
202201,Business Administration 8503,Managing Soc Enterpr:Marketing,"Cugelman, Brian",A,12,18
202201,Business Administration 8503,Managing Soc Enterpr:Marketing,"Cugelman, Brian",B,4,18
202201,Business Administration 8503,Managing Soc Enterpr:Marketing,"Cugelman, Brian",PASS,2,18
202201,Business Administration 8504,Managing Soc Enterpr:Accountin,"Gardiner, Susan",A,18,18
202201,Business Administration 8505,Managing Soc Enterpr:Human Res,"Paterson, Chelsey Elizabeth",A,16,18
202201,Business Administration 8505,Managing Soc Enterpr:Human Res,"Paterson, Chelsey Elizabeth",B,2,18
202201,Business Administration 8510,Economics and Public Policy,"Fang, Tao",A,17,19
202201,Business Administration 8510,Economics and Public Policy,"Fang, Tao",B,2,19
202201,Business Administration 9026,International Business Law,"Mercer, Kyle Stephen",A,28,31
202201,Business Administration 9026,International Business Law,"Mercer, Kyle Stephen",B,3,31
202201,Business Administration 9035,Management Consulting,"Cooper, Thomas",A,24,24
202201,Business Administration 9036,Case Analysis,"Coady, Peggy Ann",A,,
202201,Business Administration 9043,Team Building & Diversity,"Byrne, Alyson Elizabeth",A,15,16
202201,Business Administration 9043,Team Building & Diversity,"Byrne, Alyson Elizabeth",B,1,16
202201,Business Administration 9045,Marketing for Sustainability,"Schouten, John Woodward",A,,
202201,Business Administration 9324,"Gender, Work and Organizations","Arnold, Kara",A,14,16
202201,Business Administration 9324,"Gender, Work and Organizations","Arnold, Kara",B,2,16
202201,Business Administration 9901,Approaches Management Rsrch,"Arnold, Kara",A,18,18
202201,Business Administration 9910,Optimization,"Tulett, David",A,,
202201,Business Administration 9914,Supply Chains: Models & Mgmnt,"Ke, Ginger",A,,
202201,Business Administration 9914,Supply Chains: Models & Mgmnt,"Ke, Ginger",B,,
202201,Business Administration 9918,Special Topics Information Sys,"Jewer, Jennifer",A,,
202201,Business Administration 9920,Found Organizational Behaviour,"Arnold, Kara",A,,
202201,Business Administration 9921,Foundations Human Rsrce Mngmnt,"Arnold, Kara",A,,
202201,Business Administration 9923,Foundations Organizatnal Thry,"Tang, Jianyun",A,,
202201,Chemistry 6001,Masters Seminar,"Bottaro, Christina",PASS,,
202201,Chemistry 6003,Doctoral Rsrch Seminar,"Bottaro, Christina",PASS,,
202201,Chemistry 6110,Analytical Chemistry Il,"Bottaro, Christina",A,,
202201,Chemistry 6381,Surface and Interface Science,"Merschrod, Erika",A,14,14
202201,Chemistry 6470,Physical Organic Chem,"Zhao, Yuming",A,,
202201,Chemistry 6470,Physical Organic Chem,"Zhao, Yuming",B,,
202201,Chemistry 6491,Sel Tps Organic Chem,"Pansare, Sunil V",A,,
202201,Chemistry 6620,Environmental Chemistry,"Reader, Heather",A,,
202201,Classics 6003,Sem Roman History & Society,"Nikolic, Milorad",A,,
202201,Classics 6004,Sem Roman Literature & Cult,"Nikolic, Milorad",A,,
202201,Classics 6250,Post Classical Latin,"Roman, Luke",A,,
202201,Classics 6250,Post Classical Latin,"Roman, Luke",B,,
202201,Classics 6300,Greek Literature: Oratory,"Levett, Brad",A,,
202201,Classics 6300,Greek Literature: Oratory,"Levett, Brad",PASS,,
202201,Computer Science 6777,Mobile Ad-Hoc Networking,"Ye, Qiang",A,15,15
202201,Computer Science 6901,Applied Algorithms,"Fleming, Noah Robert",A,32,49
202201,Computer Science 6901,Applied Algorithms,"Fleming, Noah Robert",B,13,49
202201,Computer Science 6901,Applied Algorithms,"Fleming, Noah Robert",C,4,49
202201,Computer Science 6912,Autonomous Robotics,"Vardy, Andrew",A,11,11
202201,Computer Science 6981,Data Preparation Techniques Soares,"Junior, Amilcar",A,33,35
202201,Computer Science 6981,Data Preparation Techniques Soares,"Junior, Amilcar",B,2,35
202201,Computer Science 6999,Master's Project,"Meruvia-Pastor, Oscar",A,,
